Name,Description,Node Assignment
9014A-VEZA-T16,Температура комнатного воздуха,40127-ESD-01-04A
9014A-VEZA-T2,Температура приточного воздуха,40127-ESD-01-04A
9014A-VEZA-T2_AL,Авария привода клапана обр. тепл. P34,40127-ESD-01-04A
9014A-VEZA-T3,Температура обратного теплоносителя,40127-ESD-01-04A
9014A-VEZA-T3_AL,Температура обр. теплоносителя аварийная P34,40127-ESD-01-04A
9014A-VEZA-T4,Температура комнатного воздуха,40127-ESD-01-04A
9014A-VEZA-T5,Температура наружного воздуха,40127-ESD-01-04A
9014A-VEZA-T6,Температура приточного воздуха,40127-ESD-01-04A
9014A-VEZA-T6_AL,Авария привода клапана обр. тепл. P34a,40127-ESD-01-04A
9014A-VEZA-T7,Температура обратного теплоносителя,40127-ESD-01-04A
9014A-VEZA-T7_AL,Температура обр. теплоносителя аварийная P34a,40127-ESD-01-04A
9014A-VEZA-T8,Температура комнатного воздуха,40127-ESD-01-04A
9014A-VEZA-T9,Температура наружного воздуха,40127-ESD-01-04A
9014A-VEZA-V47,Вентилятор B47,40127-ESD-01-04A
9014A-VEZA-V47W,Ветилятор В47,40127-ESD-01-04A
9014A-VEZA-V48,Вентилятор B48,40127-ESD-01-04A
9014A-VEZA-V48W,Ветилятор В48,40127-ESD-01-04A
9014A-VEZA-VLV1,Входной клапан открыт,40127-ESD-01-04A
9014A-VEZA-VLV10,Клапан за вентилятором открыт,40127-ESD-01-04A
9014A-VEZA-VLV2,Клапан за вентилятором открыт,40127-ESD-01-04A
9014A-VEZA-VLV3,Входной клапан открыт,40127-ESD-01-04A
9014A-VEZA-VLV4,Клапан за вентилятором открыт,40127-ESD-01-04A
9014A-VEZA-VLV5,Входной клапан открыт,40127-ESD-01-04A
9014A-VEZA-VLV6,Клапан за вентилятором открыт,40127-ESD-01-04A
9014A-VEZA-VLV7,Входной клапан открыт,40127-ESD-01-04A
9014A-VEZA-VLV8,Клапан за вентилятором открыт,40127-ESD-01-04A
9014A-VEZA-VLV9,Входной клапан открыт,40127-ESD-01-04A
GAS-4050,Алгоритм загазованности,40127-ESD-01-04A
GAS-P4060,Алгоритм загазованности,40127-ESD-01-04A
GAS-V6089,Загазованность емкости опасных стоков V-6089,40127-ESD-01-04A
GAS-X9019,Алгоритм загазованности X-9019,40127-ESD-01-04A
NHS-4060-A,Аварийный стоп (ESD),40127-ESD-01-04A
NHS-4315-A,Аварийный стоп (ESD),40127-ESD-01-04A
NHS-4315-B,Аварийный стоп (ESD),40127-ESD-01-04A
NHS-4320-B,Аварийный стоп (ESD),40127-ESD-01-04A
NHS-4330A-HM1,Нагреватель 1 насоса 4330А - аварийный стоп,40127-ESD-01-04A
NHS-4330A-HM2,Нагреватель 2 насоса 4330А - аварийный стоп,40127-ESD-01-04A
NHS-4330A-MH1,Маслонасос 1 4330А - аварийный стоп,40127-ESD-01-04A
NHS-4330A-MH2,Маслонасос 2 4330А - аварийный стоп,40127-ESD-01-04A
NHS-4330A-MO,Вентилятор насоса 4330А - аварийный стоп,40127-ESD-01-04A
NHS-4330B-HM1,Нагреватель 1 насоса 4330B - аварийный стоп,40127-ESD-01-04A
NHS-4330B-HM2,Нагреватель 2 насоса 4330B - аварийный стоп,40127-ESD-01-04A
NHS-4330B-MH1,Маслонасос 1 4330B - аварийный стоп,40127-ESD-01-04A
NHS-4330B-MH2,Маслонасос 2 4330B - аварийный стоп,40127-ESD-01-04A
NHS-4330B-MO,Вентилятор насоса 4330B - аварийный стоп,40127-ESD-01-04A
NHS-4330C-HM1,Нагреватель 1 насоса 4330C - аварийный стоп,40127-ESD-01-04A
NHS-4330C-HM2,Нагреватель 2 насоса 4330C - аварийный стоп,40127-ESD-01-04A
NHS-4330D-HM1,Нагреватель 1 насоса 4330D - аварийный стоп,40127-ESD-01-04A
NHS-4330D-HM2,Нагреватель 2 насоса 4330D - аварийный стоп,40127-ESD-01-04A
NHS-4330D-MH1,Маслонасос 1 4330D - аварийный стоп,40127-ESD-01-04A
NHS-4330D-MH2,Маслонасос 2 4330D - аварийный стоп,40127-ESD-01-04A
NHS-4330D-MO,Вентилятор насоса 4330D - аварийный стоп,40127-ESD-01-04A
NHS-5915-A,Аварийный стоп (ESD),40127-ESD-01-04A
NHS-5915-B,Аварийный стоп (ESD),40127-ESD-01-04A
QT-A-60015,Загазованность в помещении насосной,40127-ESD-01-04A
QT-B-60015,Загазованность в помещении насосной,40127-ESD-01-04A
SVODKA-LZT-002,Сводка по резервуарам пластовой воды,40127-ESD-01-04A
SVODKA-LZT-003,Control Module,40127-ESD-01-04A
SVODKA-LZT-046,Сводка по резервуарам пластовой воды,40127-ESD-01-04A
SVODKA-LZT-048,Сводка по резервуарам пластовой воды,40127-ESD-01-04A
SVODKA-LZT-057,Control Module,40127-ESD-01-04A
SVODKA-LZT-058,Сводка по резервуарам пластовой воды,40127-ESD-01-04A
SVODKA-LZT-063,Сводка по резервуарам пластовой воды,40127-ESD-01-04A
SVODKA-LZT-065,Сводка по резервуарам пластовой воды,40127-ESD-01-04A
